team1,team2,toss_winner,toss_decision,venue,city,winner,team1_win_rate,team2_win_rate,team1_venue_wins,head_to_head_advantage
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.4711111111111111,28,10
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.49261083743842365,19,-1
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bengaluru,0.43891402714932126,0.4711111111111111,14,1
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.49261083743842365,28,3
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Punjab Kings,0.5110132158590308,0.43891402714932126,40,9
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Delhi Capitals,0.4419642857142857,0.4711111111111111,19,-8
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.5512820512820513,28,-3
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,0.49261083743842365,0.43891402714932126,26,4
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.4419642857142857,40,3
Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,0.43891402714932126,0.5512820512820513,14,-2
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,0.4711111111111111,0.5110132158590308,20,-6
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Delhi,Punjab Kings,0.4419642857142857,0.43891402714932126,19,-1
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Mumbai Indians,0.49261083743842365,0.5512820512820513,26,-1
Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,Mumbai,Mumbai Indians,0.5512820512820513,0.4419642857142857,4,3
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,0.5799086757990868,0.5110132158590308,28,9
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bengaluru,0.49261083743842365,0.4711111111111111,26,-1
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Capitals,0.5799086757990868,0.4419642857142857,28,8
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,0.4711111111111111,0.5512820512820513,20,-5
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.49261083743842365,40,0
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Dharamsala,Chennai Super Kings,0.43891402714932126,0.5799086757990868,5,-2
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Kolkata,Kolkata Knight Riders,0.5110132158590308,0.5512820512820513,40,-12
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,0.4711111111111111,0.5512820512820513,0,-5
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Mumbai,Chennai Super Kings,0.5799086757990868,0.5512820512820513,1,-3
